Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
261,Alembic Pharmaceuticals,"2,17,52,35,979",11.07,"8,29,08,000",0.8524,"75,09,87,475",14593
262,IDFC,"2,17,41,62,175",1.36,"12,70,37,000",0,"74,27,683",328
263,NCC Limited,"2,15,98,11,665",3.44,"12,78,51,000",0.7726,"2,51,18,36,536",5109
264,Natco Pharma,"2,14,21,69,821",11.96,"18,54,51,000",0.9461,"46,24,18,812",4025
265,Piramal Enterprises,"2,14,07,92,162",9.53,"13,11,99,000",3.908,"97,97,27,975",12220
266,IIFL Wealth Management,"2,10,54,77,693",23.66,"15,48,56,000",0,"15,49,04,596",907
267,Bata India,"2,10,41,49,867",16.37,"5,68,66,500",0.9724,"41,86,24,908",4357
268,Ramco Cements,"2,10,14,59,171",8.89,"11,53,57,000",0.2688,"1,13,04,40,360",3326
269,Chalet Hotels,"2,05,09,21,853",9.4,"5,96,20,200",0,"17,40,93,471",1853
270,Blue Dart Express,"2,04,90,93,224",86.36,"4,73,26,100",0.4095,"63,50,96,115",12594
271,Action Construction Equipment,"2,04,41,92,264",17.17,"5,22,87,200",0.0711,"35,11,99,023",1184
272,IIFL Finance,"2,02,94,09,640",4.79,"31,60,55,000",0.9912,"67,55,39,600",14937
273,RITES,"2,01,06,54,905",8.37,"8,66,87,600",2.7599,"31,40,36,417",2154
274,Atul,"1,98,39,99,356",67.39,"5,57,25,700",0.4391,"56,98,54,639",3188
275,KSB ltd,"1,98,14,13,546",56.92,"3,50,14,900",0,"27,75,95,668",1937
276,Schneider Electric Infrastructure,"1,96,48,00,526",8.22,"2,61,64,800",0,"25,78,27,760",1232
277,sterling &amp; wilson solar,"1,96,32,44,719",8.41,"54,86,060",0,"36,55,37,032",835
278,V-Guard Industries,"1,93,08,40,088",4.44,"4,58,04,100",0.3503,"58,56,05,239",2477
279,Karur Vysya Bank,"1,89,76,60,794",2.36,"25,31,81,000",1.0305,"65,90,42,994",6761
280,Chambal Fertilisers,"1,86,91,32,816",4.67,"22,77,12,000",1.8786,"2,16,89,83,880",1035
281,Welspun India,"1,86,74,18,314",1.91,"7,61,83,000",0.063,"93,43,19,732",26000
282,Redington India,"1,85,84,95,738",2.38,"23,62,68,000",3.6498,"10,77,18,93,886",4651
283,DCM Shriram,"1,85,56,71,872",11.97,"10,54,20,000",0.7722,"1,35,40,83,034",5803
284,RBL Bank,"1,78,54,72,968",2.95,"16,26,85,000",0.6171,"1,09,26,25,130",18010
285,Raymond,"1,76,33,74,652",26.5,"22,60,10,000",0.1377,"1,08,67,48,357",6682
286,Tata Teleservices,"1,74,83,40,027",0.89,"4,73,94,600",0,"14,36,68,366",368
287,IndiaMART,"1,73,83,41,102",28.98,"5,58,55,300",0,"14,42,85,016",4583
288,PVR Cinemas,"1,73,37,46,986",17.65,"-2,51,62,000",0,"46,14,25,308",8665
289,CenturyPly,"1,72,95,21,457",7.78,"5,87,58,900",0.1538,"45,70,48,890",6339
290,Asahi India Glass,"1,72,20,12,295",7.05,"6,48,56,400",0.3408,"51,65,70,539",2734
291,Olectra Greentech,"1,71,88,06,991",20.93,"1,27,54,500",0.0231,"13,90,54,783",337
292,Zee Entertainment,"1,71,45,75,022",1.79,"5,45,20,000",0,"1,04,13,13,515",3182
293,Engineers India,"1,67,33,57,620",2.98,"6,85,68,800",1.2172,"40,60,17,492",2725
294,Zensar,"1,65,78,64,168",7.31,"10,55,95,000",0.8808,"59,10,99,753",11051
295,HBL Power Systems,"1,64,97,44,744",5.95,"3,73,60,500",0.0908,"24,36,60,200",1663
296,Ingersoll Rand India,"1,64,37,00,646",52.07,"3,67,77,300",1.6532,"14,45,65,054",536
297,Chennai Petroleum,"1,63,81,72,826",11,"47,22,71,000",2.9843,"8,00,18,39,771",1486
298,Indian Energy Exchange,"1,63,36,80,803",1.84,"5,61,81,000",1.3084,"5,41,45,142",0
299,Fine Organics,"1,63,04,58,410",53.18,"6,59,15,200",0.2027,"25,60,28,620",760
300,Jindal Stainless (Hisar),"1,61,22,15,436",6.83,"23,26,00,000",0,"1,97,08,96,997",2190
301,Anant Raj,"1,58,00,39,334",4.62,"4,25,77,400",0.1348,"17,87,48,702",231
302,Mahanagar Gas,"1,53,70,56,648",15.56,"20,77,36,000",2.1646,"75,84,36,614",491
303,BLS International,"1,53,50,86,011",3.73,"4,24,41,300",0.2411,"20,21,32,105",20000
304,Godawari Power &amp; Ispat,"1,52,39,52,001",11.59,"15,84,29,000",0.4379,"65,77,27,578",2851
305,Alok Industries,"1,51,78,75,888",0.31,"-3,05,68,400",0,"66,22,59,744",14803
306,Aavas Financiers,"1,51,49,58,528",19.14,"5,42,66,100",0,"21,96,29,715",6034
307,Gujarat Mineral Development,"1,49,82,72,245",4.7,"14,31,30,000",2.9698,"32,30,80,468",1064
308,TANLA,"1,48,03,25,269",11.01,"8,31,59,100",1.0927,"47,35,22,708",336
309,Amber Enterprises India,"1,45,36,78,264",43.14,"4,32,04,300",0,"81,10,73,587",1397
310,Ramkrishna Forgings,"1,44,24,58,519",7.99,"5,53,33,000",0.2989,"47,67,33,391",2112
311,KFin Technologies,"1,42,98,53,652",8.35,"4,14,10,500",0,"10,11,36,085",0
312,East India Distilleries Parry,"1,42,27,46,553",8.01,"29,80,02,000",0.5941,"3,54,71,02,128",2230
313,Force Motors,"1,41,33,95,210",104.71,"8,03,73,600",0.1203,"84,26,84,329",3928
314,Happiest Minds Technologies,"1,41,33,92,068",9.45,"4,54,42,500",0.7451,"19,58,84,678",4589
315,Voltamp Transformers,"1,37,59,91,903",134.97,"4,81,67,600",0.1822,"19,47,30,886",320
316,Zydus Wellness,"1,33,78,26,503",21.02,"3,09,98,900",0.2902,"27,24,54,949",975
317,Vesuvius India,"1,33,44,23,310",65.75,"3,75,76,700",0.2508,"20,23,65,289",485
318,Graphite India,"1,32,42,89,350",6.78,"12,44,54,000",1.5119,"35,57,67,670",1695
319,Jubilant Pharmova,"1,31,57,78,469",8.25,"1,64,80,200",0.7128,"79,39,08,980",6000
320,Aether Industries,"1,27,75,90,384",9.64,"1,42,57,700",0,"7,21,61,428",889
321,City Union Bank,"1,27,33,16,382",1.72,"14,83,37,000",0.6908,"34,54,92,246",5367
322,Bajaj Electricals,"1,27,23,83,016",11.05,"2,08,94,100",0.4339,"55,72,93,812",2661
323,MMTC,"1,26,88,38,501",0.84,"1,75,91,700",0,"8,70,32,847",0
324,eClerx Services,"1,26,80,03,932",26.3,"8,59,04,400",0.0453,"35,26,92,669",16171
325,Amara Raja Batteries,"1,24,17,75,208",7.26,"13,16,79,000",1.3251,"1,31,16,74,022",9911
326,RattanIndia Power,"1,23,28,43,002",0.23,"1,06,33,60,000",0,"40,56,38,978",524
327,MOIL,"1,22,87,64,434",6.04,"3,85,37,000",0.8768,"17,47,97,817",5789
328,Bombay Burmah,"1,22,75,63,942",17.59,"34,82,48,000",0.0816,"2,03,56,10,466",3087
329,MapmyIndia,"1,22,39,80,660",22.99,"2,11,12,300",0.1567,"4,57,40,534",510
330,Granules India,"1,21,59,85,445",5.02,"6,58,59,400",0.3574,"54,31,77,670",0
331,Electrosteel Castings,"1,19,31,81,015",1.93,"13,91,84,000",0.8774,"90,14,26,079",2879
332,Arvind,"1,18,35,53,119",4.52,"5,58,22,300",0.5324,"93,29,04,291",25188
333,Reliance Power,"1,18,22,40,671",0.29,"8,31,11,400",0,"86,69,47,248",1305
334,Sheela Foam,"1,15,68,06,433",10.63,"3,91,05,700",0,"35,93,97,256",1914
335,Praj Industries,"1,15,19,95,923",6.26,"4,54,55,500",0.848,"41,08,33,415",1192
336,Puravankara,"1,15,09,94,204",4.85,"6,04,82,700",1.6338,"26,30,13,053",1248
337,Safari Industries India,"1,15,00,61,721",23.58,"2,77,62,100",0.1158,"18,70,25,662",1004
338,CEAT,"1,14,35,52,413",28.27,"10,08,13,000",0.5099,"1,44,01,59,660",8207
339,Cera Sanitaryware,"1,09,24,70,631",84,"3,91,40,300",0.7138,"22,66,57,807",2523
340,Mahindra Lifespaces,"1,07,39,55,621",6.92,"64,79,030",0.3998,"2,56,48,148",580
341,Indiabulls Housing Finance,"1,07,22,32,959",1.89,"19,81,71,000",0.7081,"37,29,31,412",5318
342,Knr Constructions,"1,07,18,04,871",3.81,"8,41,45,900",0.0837,"51,59,15,799",2173
343,Craftsman Automation,"1,07,17,01,164",50.72,"5,36,27,400",0.5436,"53,29,70,020",2154
344,HEG,"1,06,32,48,717",27.54,"4,78,17,700",1.9127,"28,89,31,783",837
345,PCBL Limited,"1,06,22,72,237",2.81,"10,32,72,000",2.3159,"77,36,07,165",1178
346,Rajesh Exports,"1,05,12,55,390",3.55,"11,47,28,000",0,"37,92,82,14,442",135
347,Galaxy Surfactants,"1,04,19,45,589",29.39,"4,79,83,100",0.1612,"45,75,54,643",1668
348,Varroc,"1,03,60,71,489",6.68,"6,13,17,300",0,"90,88,90,312",13800
349,Kalpataru Power Transmission,"1,02,93,35,063",6.33,"13,61,76,000",1.3298,"2,01,06,71,504",3072
350,Syrma SGS Technology,"1,02,19,94,487",5.75,"2,46,25,100",0.3128,"37,99,08,734",697
351,Shriram Pistons &amp; Rings,"1,02,11,22,009",23.18,"7,10,22,100",0.4032,"37,24,16,282",3907
352,Rashtriya Chemicals and Fertilizers,"1,01,91,82,701",1.85,"5,84,68,400",2.4221,"2,04,74,08,858",0
353,Campus Activewear,"1,01,49,58,393",3.32,"1,28,73,900",0,"17,33,08,224",782
354,Quess,"1,01,05,34,035",6.8,"3,55,77,500",0.7096,"2,30,28,94,117",6664
355,Network18,"1,00,28,32,877",0.96,"-4,66,83,800",0,"1,12,26,28,907",620
356,Infibeam Avenues,"99,61,12,226",0.36,"2,52,87,800",0.1665,"38,23,16,613",750
357,Astra Microwave,"98,54,17,893",10.38,"1,27,23,700",0.1895,"9,82,10,436",1058
358,ESAB India,"98,09,70,358",63.73,"2,65,76,400",1.3949,"14,99,53,102",820
359,Mishra Dhatu Nigam,"97,08,98,563",5.18,"2,32,64,000",0.7323,"12,02,56,811",773
360,Karnataka Bank,"96,93,99,520",2.57,"20,34,39,000",2.3713,"55,93,42,885",8520
361,Texmaco Rail &amp; Engineering,"95,15,56,546",2.38,"1,95,01,100",0.0762,"42,19,57,411",2114
362,Strides Pharma,"94,85,33,220",10.32,"2,38,13,400",0.1752,"48,83,54,148",2647
363,Neuland Laboratories,"94,76,25,388",72.44,"4,83,86,400",0.165,"18,79,08,049",1554
364,Kirloskar Ferrous Industries,"91,78,44,181",5.52,"5,46,71,900",0.6527,"74,11,10,569",1385
365,Symphony Limited,"89,64,03,758",13,"2,17,97,200",0.5485,"13,94,09,212",462
366,EaseMyTrip,"89,11,71,544",0.5,"2,53,49,700",0.2386,"6,56,94,383",508
367,Mastek,"88,10,99,749",28.56,"5,19,34,600",0.7994,"36,82,99,430",5810
368,Greenlam Industries,"88,09,68,642",6.82,"2,63,21,400",0.2566,"25,98,77,548",2249
369,Power Mech Projects,"87,82,05,665",55.55,"5,73,76,800",0.0426,"50,68,67,893",14044
370,JSW Holdings,"87,16,44,208",78.55,"1,89,80,300",0,"2,01,76,943",2
371,South Indian Bank,"84,55,18,883",0.32,"18,42,16,000",1.1331,"58,43,49,716",9219
372,FDC India,"84,41,56,643",5.18,"4,59,77,100",0,"23,12,00,189",6336
373,VIP Industries,"82,95,35,178",5.83,"1,59,72,000",0.4085,"27,08,44,121",4190
374,Sunteck Realty,"82,71,28,302",5.65,"-95,88,580",0.3202,"2,14,17,944",453
375,Religare,"81,24,19,432",2.46,"5,39,47,300",0,"60,79,35,371",11000
376,Prince Pipes And Fittings,"80,94,43,393",7.31,"2,93,42,300",0,"30,95,93,099",1665
377,SPARC,"80,08,49,380",2.47,"-4,39,82,200",0,"1,29,42,426",403
378,Marksans Pharma,"79,54,88,219",1.78,"5,23,72,600",0.3346,"25,41,93,837",1412
379,Allcargo Logistics,"79,05,61,283",0.8,"4,83,69,700",0,"1,59,86,80,911",959
380,Reliance Infrastructure,"78,90,85,122",1.99,"-12,39,80,000",0,"2,57,34,31,217",4502
381,Transport Corporation of India,"78,02,85,707",10.04,"4,82,75,700",0.814,"48,89,02,385",3687
382,Jindal Worldwide,"77,78,96,951",3.88,"1,82,40,200",0.061,"21,67,38,677",1979
383,Tata Coffee,"77,55,20,278",4.15,"3,59,93,000",0,"34,74,75,932",6044
384,Edelweiss Financial Services,"77,38,19,611",0.86,"5,25,77,800",1.7848,"81,92,53,211",4490
385,Surya Roshni,"75,63,36,911",6.97,"5,65,02,200",0.7896,"94,15,30,348",3357
386,eMudhra,"75,60,42,043",9.13,"1,15,28,200",0.1711,"4,49,69,879",751
387,MSTC Limited,"75,22,34,135",10.68,"4,17,25,700",1.552,"3,82,13,879",315
388,Time Technoplast,"75,04,80,292",3.3,"6,41,37,000",0.4629,"60,16,98,942",2521
389,Hindustan Construction Company,"74,66,80,094",0.44,"6,87,54,000",0,"1,01,96,10,052",1105
390,PTC India,"74,36,00,299",2.51,"9,25,38,300",3.7525,"2,04,12,71,481",102
391,Sterlite Technologies,"73,97,58,067",1.52,"3,59,86,400",0.8072,"66,09,13,649",3286
392,Borosil,"73,76,26,173",5.65,"59,48,140",0,"16,84,45,667",602
393,Sundaram Finance,"73,59,04,542",3.33,"2,93,74,600",1.0793,"3,60,77,588",282
394,Suprajit Engineering,"73,53,37,982",5.31,"2,57,11,600",0.5256,"34,03,12,961",1514
395,VA Tech Wabag,"73,08,35,402",11.75,"4,83,52,500",0,"34,41,15,333",2000
396,Gokaldas Exports,"72,42,90,935",10.18,"2,31,28,800",0.121,"25,29,09,412",31483
397,Ethos Watches,"71,60,72,517",29.25,"1,53,47,100",0,"12,04,26,500",424
398,Paisalo Digital,"67,82,56,590",0.76,"2,90,72,300",0.1574,"4,68,27,405",958
399,Vaibhav Global,"67,14,09,054",4.05,"2,33,46,200",1.7666,"36,65,03,321",1199
400,Gujarat Alkalies and Chemicals,"67,12,89,732",9.14,"-99,43,430",3.1357,"46,34,72,996",1538
401,CSB Bank,"66,85,15,608",3.95,"9,17,90,900",0,"24,93,33,432",4632
402,India Tourism Development Corp,"66,77,77,626",7.78,"1,30,03,200",0.3397,"6,41,26,065",567
403,Rain Industries,"66,12,06,938",1.96,"-5,70,72,500",0,"2,19,72,50,594",2640
404,Nazara Technologies,"65,59,33,329",8.41,"1,29,69,700",0,"14,05,21,019",73
405,PDS Multinational,"65,33,77,374",4.95,"4,08,78,800",0.9891,"1,24,98,39,717",180
406,Sudarshan Chemical,"65,21,04,110",9.42,"6,15,59,300",0.6511,"30,31,15,933",1285
407,Spandana Sphoorty Financial,"64,67,15,254",9.07,"7,92,36,200",0,"26,97,49,876",9674
408,Ashoka Buildcon,"61,70,42,076",2.2,"10,46,50,000",0,"1,18,04,90,360",2030
409,Gabriel India,"61,51,98,913",4.28,"3,04,48,000",0.882,"41,02,28,220",2556
410,National Fertilizers,"60,28,20,169",1.23,"-5,14,51,300",2.7445,"2,97,11,08,943",3003
411,Gateway Distriparks,"58,88,03,025",1.18,"3,89,99,200",2.0521,"18,59,08,607",0
412,JCI Hitachi India,"58,73,08,254",21.59,"-1,95,61,300",0,"20,55,28,582",1427
413,Orient Electric,"58,05,12,032",2.72,"1,44,06,200",0.6518,"33,90,52,935",1001
414,IFB Industries,"57,79,69,089",14.26,"63,00,160",0,"52,42,20,649",2653
415,VRL Logistics,"57,72,51,191",6.6,"2,39,99,900",0.9044,"34,82,35,663",20219
416,Wonderla Holidays,"57,27,16,251",10.12,"2,56,55,200",0.2957,"5,83,47,918",573
417,Gulf Oil Lubricants,"55,13,19,629",11.21,"4,96,94,400",4.4041,"39,80,37,866",585
418,Heidelbergcement India,"54,90,43,763",2.42,"2,93,62,800",3.4962,"28,70,51,279",1063
419,The Tinplate Company Of India,"54,06,19,010",5.16,"1,71,09,100",0.6975,"41,97,23,951",1388
420,Aarti Drugs,"52,56,10,508",5.72,"3,24,50,300",0.2076,"30,49,68,219",1450
421,Lux Industries,"52,45,55,855",17.44,"1,65,53,000",0.3418,"27,96,04,706",0
422,JTEKT India,"51,78,03,728",2.03,"1,60,85,300",0.3012,"25,72,68,077",1719
423,Kaveri Seed,"51,51,12,836",10.18,"3,90,24,500",0.5893,"13,92,49,337",1198
424,Kewal Kiran Clothing,"51,20,16,935",8.16,"2,40,09,900",0.2924,"10,10,57,918",1648
425,Imagicaaworld Entertainment,"50,97,14,159",0.94,"2,29,15,500",0,"3,11,78,693",554
426,Orient Cement,"50,70,45,511",2.47,"3,80,19,400",0.8329,"38,40,90,860",1275
427,Black Box,"49,70,34,310",2.94,"3,19,19,500",0,"78,47,80,266",3800
428,Jain Irrigation Systems,"48,81,62,369",0.37,"6,59,15,100",0,"74,14,79,754",8500
429,Subros,"47,96,60,917",7.3,"1,83,39,400",0.1629,"37,01,46,067",2647
430,West Coast Paper Mills,"47,14,44,168",7.14,"16,05,48,000",1.6809,"57,01,95,819",2386
431,Hinduja Global Solutions,"46,14,94,299",9.92,"2,69,75,100",0.3066,"55,50,87,805",21608
432,Jaypee Group,"45,49,44,774",0.19,"1,21,23,300",0,"79,17,21,581",5893
433,Tata Steel Long Products,"44,99,52,913",9.98,"-26,57,33,000",0,"1,41,23,59,104",3291
434,Indian Metals &amp; Ferro Alloys,"44,67,55,328",8.28,"6,62,90,600",4.0282,"32,42,95,313",2128
435,Greenpanel Industries,"43,49,96,864",3.54,"2,72,99,500",0.5165,"19,56,93,740",1891
436,Hathway,"43,39,57,286",0.25,"1,70,62,300",0,"23,88,82,587",658
437,Cigniti Technologies,"43,17,64,749",15.82,"2,72,28,200",0.4202,"21,70,52,010",3891
438,Kalyani Steels,"42,76,34,032",9.74,"4,32,78,700",1.2427,"23,62,95,762",66
439,Hikal,"42,10,54,849",3.41,"1,82,82,100",0.4239,"21,31,65,773",1906
440,Ashiana Housing,"41,82,36,532",4.16,"1,16,82,300",0.1443,"9,12,93,263",857
441,Anup Engineering,"41,20,36,480",20.7,"1,43,56,000",0.8819,"6,77,62,715",205
442,SpiceJet,"40,73,07,605",0.68,"-5,88,31,100",0,"90,23,53,133",0
443,Skipper Limited,"40,45,14,061",3.57,"1,54,76,000",0.0335,"39,52,44,031",2100
444,Dollar Industries,"38,62,32,442",6.81,"1,46,57,700",0.5338,"18,94,72,463",2323
445,Avalon Technologies,"38,34,12,725",5.83,"45,90,200",0,"10,45,95,606",0
446,Sandhar,"38,25,10,196",6.35,"1,64,04,700",0.4744,"40,23,72,582",1609
447,Greenply,"37,81,96,445",3.06,"1,72,66,800",0.1981,"26,29,21,982",2549
448,Mahindra Logistics,"37,79,48,519",5.18,"50,50,220",0.5866,"66,37,88,635",3669
449,Nucleus Software Exports,"37,59,14,244",14.04,"3,35,09,000",0.8618,"9,95,52,207",1782
450,TCNS Clothing,"37,26,69,435",5.89,"-3,57,50,900",0,"11,57,17,532",3910
451,Vadilal Industries,"36,99,98,970",51.48,"2,22,17,300",0.0348,"13,69,76,609",668
452,Prime Focus,"36,70,15,296",1.22,"-2,72,15,300",0,"54,44,91,685",9500
453,Delta Corp,"36,62,73,115",1.37,"4,06,87,600",1.1023,"11,16,75,977",3286
454,SML Isuzu,"36,56,37,122",25.27,"1,28,87,100",0,"25,26,81,040",916
455,Tide Water Oil,"36,46,42,105",21.46,"2,27,78,000",2.6458,"23,28,57,264",509
456,CARE's Ratings,"36,14,71,812",12.1,"1,78,74,600",1.4811,"3,99,71,468",517
457,MPS Limited,"35,69,52,708",20.87,"1,99,77,000",3.012,"6,32,74,610",2210
458,Wendt India,"35,63,31,593",178.17,"65,33,530",0.5234,"2,70,97,077",388
459,Repco Home Finance,"35,24,25,846",5.63,"6,32,53,800",0.585,"8,38,18,909",898
460,Somany Ceramics,"35,14,17,302",8.57,"2,27,91,000",0.4188,"31,06,75,461",1888
461,MM Forgings,"34,90,95,965",14.46,"2,23,92,000",0,"18,78,35,116",3870
462,Automotive Axles,"34,58,82,975",22.89,"2,80,73,000",1.6697,"27,66,78,743",988
463,Prakash Industries,"34,46,81,600",1.92,"3,79,15,300",0,"44,32,75,842",2404
464,Vst Tillers Tractors,"34,00,09,243",39.29,"1,89,78,800",0.7583,"11,67,47,231",649
465,Dish TV,"33,44,13,341",0.18,"-22,43,96,000",0,"23,28,65,332",376
466,Shalby,"33,19,68,778",3.1,"1,65,47,100",0.4618,"10,75,40,599",2490
467,Indoco Remedies,"33,19,13,782",3.6,"1,63,79,600",0.7478,"21,55,93,458",6000
468,Honda Siel Power Products,"32,45,81,640",32,"1,49,11,400",0.6303,"11,92,19,030",754
469,Apollo Pipes,"32,33,07,394",7.85,"86,64,210",0.0922,"11,75,65,399",834
470,Nilkamal,"32,28,60,180",21.64,"1,93,73,800",1.1022,"38,53,94,426",3493
471,Confidence Petroleum,"31,74,94,330",0.98,"1,90,10,100",0.123,"33,20,61,161",163
472,Capacit'e Infraprojects,"31,34,10,016",3.7,"1,57,54,000",0,"21,31,07,876",970
473,Unitech Group,"31,05,12,127",0.12,"49,79,990",0,"3,94,42,804",175
474,Sequent Scientific,"30,94,02,477",1.24,"-66,61,200",0,"16,51,53,684",1771
475,Hindustan Oil Exploration Company,"30,39,15,094",2.3,"3,83,00,900",0,"7,68,47,559",94
476,Alembic Limited,"30,35,27,002",1.18,"1,25,02,000",2.2481,"1,89,83,063",271
477,PTC Financial Services,"29,70,58,450",0.46,"2,91,93,800",2.6655,"8,93,82,439",48
478,Polyplex,"29,57,66,551",9.42,"1,42,23,600",0.6155,"76,04,79,387",2650
479,Quick Heal,"29,04,29,205",5.33,"31,27,480",0.5631,"3,51,44,796",986
480,Accelya,"28,83,26,405",19.32,"1,66,26,400",3.4299,"6,09,50,683",1177
481,Lumax Industries,"28,78,89,675",30.8,"1,69,77,500",1.0503,"30,24,38,726",2281
482,Kingfa Science & Technology,"28,64,48,108",23.48,"2,09,55,800",0,"17,52,96,523",221
483,Geojit Financial Services,"28,39,68,264",1.19,"2,30,87,400",1.5391,"6,02,83,411",2198
484,RPG Life Sciences,"28,32,14,152",17.12,"1,22,69,000",0.8352,"6,61,69,672",1214
485,Vidhi Specialty Food,"28,30,28,539",5.6,"58,02,410",0.3001,"3,68,71,541",71
486,Filatex India,"28,14,83,314",0.63,"1,81,13,000",0.2846,"51,68,38,362",2383
487,Mangalam Cement,"28,10,05,484",10.22,"2,00,94,000",0.1791,"20,80,49,757",1114
488,Huhtamaki India,"28,06,66,421",3.72,"6,35,04,800",1.6157,"29,29,10,776",2906
489,Sanghi Industries,"28,01,12,505",1.08,"-5,42,22,100",0,"9,88,14,295",767
490,Mahanagar Telephone Nigam,"27,94,46,141",0.44,"-8,72,49,000",0,"9,07,69,706",3749
491,India Glycols,"27,93,08,626",9.02,"2,58,30,400",0.9969,"35,22,94,215",1151
492,Foseco India,"27,74,62,467",43.45,"1,00,15,700",0,"5,77,43,281",225
493,KCP Limited,"27,05,46,309",2.1,"4,01,91,800",0.0584,"34,33,46,089",856
494,Federal-Mogul Goetze,"26,65,61,406",4.64,"2,02,09,100",0,"20,30,31,263",5025
495,Sasken Technologies,"26,47,55,734",17.56,"1,13,60,200",1.7047,"4,90,03,497",1430
496,Jindal Poly Films,"26,33,53,548",6.01,"85,45,260",0.858,"43,40,47,240",1740
497,Astec Lifesciences,"25,76,15,146",13.14,"-80,83,550",0.1358,"5,23,14,051",551
498,GE Power India,"24,98,41,462",3.72,"-3,08,63,200",0,"19,00,92,896",1405
499,Hindustan Sanitaryware &amp; Industries,"24,41,73,718",3.77,"2,35,95,600",0,"18,86,41,904",2818
500,Barbeque Nation Hospitality,"24,27,98,321",6.21,"55,22,320",0,"14,96,39,434",6878
501,Parag Milk Foods,"24,13,58,006",2.02,"1,89,71,300",0,"37,84,29,015",1572
502,Siyaram Silk Mills,"23,98,88,867",5.28,"3,21,65,200",2.4887,"25,19,83,839",3299
503,Jagran Prakashan,"23,74,45,458",1.09,"3,21,53,300",0,"22,79,62,842",4865
504,Rupa Company,"23,46,22,133",2.95,"1,03,68,800",1.2091,"14,72,73,075",1152
505,GTL Infrastructure,"23,33,71,703",0.02,"-8,20,38,900",0,"16,54,67,300",669
506,Hyderabad Industries Limited,"22,69,77,346",30.1,"-85,339",1.6079,"38,68,53,020",1745
507,Gallantt Ispat,"22,11,13,575",0.78,"1,86,65,800",0,"14,93,82,390",1516
508,GTPL Hathway,"22,06,38,601",1.96,"1,82,11,900",2.439,"38,73,27,370",729
509,Gati,"21,51,37,993",1.65,"6,99,296",0,"20,90,63,211",20
510,Cantabil Retail India,"21,29,17,703",2.55,"92,50,610",0.4176,"7,42,54,640",2278
511,Omaxe,"21,11,29,659",1.08,"-5,55,81,700",0,"16,52,88,572",468
512,Shankara Building,"20,81,35,599",8.23,"1,30,27,200",0.3658,"58,20,69,359",664
513,Tamil Nadu Newsprint and Papers Limited,"20,54,78,687",2.97,"7,69,95,200",3.2616,"58,58,34,113",2371
514,Rane Holdings,"20,54,07,597",14.39,"91,01,660",1.4155,"42,56,86,734",115
515,Sify,"20,16,65,200",1.1,"2,85,17,100",0,"43,30,59,013",4439
516,Nelco,"19,65,33,949",8.61,"40,43,640",0.2796,"3,86,20,468",93
517,Wheels India,"19,33,78,485",7.91,"90,01,220",0.5995,"59,96,29,504",2221
518,Rico Auto Industries,"19,19,43,633",1.42,"1,48,33,400",0.64,"26,21,27,636",1558
519,India Nippon Electricals,"18,70,40,451",8.27,"80,00,980",1.4321,"8,18,23,826",561
520,Hester Biosciences,"18,34,30,604",21.56,"62,35,160",0.4465,"3,67,42,087",584
521,I.g. Petrochemicals,"18,00,83,954",5.85,"1,46,46,500",2.0313,"26,03,94,655",461
522,Navkar Corp,"17,97,28,994",1.18,"14,54,320",0,"5,24,28,373",495
523,INEOS Styrolution,"17,48,38,743",9.94,"4,13,73,300",0,"29,88,77,797",479
524,Igarashi Motors India,"17,44,39,708",5.54,"30,16,860",0.2152,"8,14,50,600",648
525,Southern Petrochemical Industries Corp,"17,35,75,542",0.85,"2,51,62,700",2.1251,"23,34,30,765",617
526,Cosmo First,"17,18,44,102",6.63,"1,94,96,600",0.9183,"31,21,43,874",1148
527,Kokuyo Camlin,"17,17,60,908",1.69,"61,82,350",0.3519,"9,58,10,038",1095
528,Dhampur Sugar Mills,"17,02,98,582",2.6,"2,83,12,500",0,"26,19,27,266",1213
529,NACL Industries,"16,19,40,488",0.81,"65,32,550",0.3691,"24,42,82,124",1254
530,Kitex Garments,"16,09,58,460",2.42,"1,04,35,900",0.7533,"7,43,68,762",5524
531,Excel Industries,"15,93,81,071",12.68,"24,59,110",1.0757,"9,83,97,069",1047
532,Kuantum Papers,"15,92,22,196",1.82,"3,49,06,000",1.9846,"15,17,62,138",1304
533,Aptech,"15,62,53,989",2.69,"50,39,550",2.0063,"5,26,97,221",458
534,Monte Carlo Fashions,"15,30,51,925",7.38,"1,92,21,900",3.2287,"13,16,76,277",1806
535,Sterling Tools,"15,15,63,783",4.21,"87,03,070",0.5733,"11,23,49,145",554
536,India Motor Parts and Accessories,"15,09,67,380",12.1,"1,24,55,000",2.3832,"8,60,66,129",854
537,Mangalore Chemicals and Fertilizers,"15,04,61,413",1.27,"3,93,67,500",1.4051,"50,49,82,877",651
538,Himatsingka Seide,"15,00,78,133",1.52,"5,20,94,500",0,"66,91,67,241",8687
539,Oriental Aromatics,"13,90,68,467",4.13,"26,38,840",0.1457,"9,86,65,808",744
540,Coffee Day Enterprises,"13,65,04,017",0.65,"92,69,300",0,"12,04,72,474",2376
541,Jay Bharat Maruti,"13,13,30,088",1.21,"57,26,400",0.701,"27,63,38,435",5896
