Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
58,Rural Electrification Corp,"16,97,55,32,611",6.45,"2,16,44,00,000",2.9032,"2,07,81,66,543",440
59,Lodha Group,"16,91,93,05,922",16.52,"29,30,35,000",0.0747,"1,42,47,74,903",4200
60,Tata Power,"16,73,03,80,913",5.24,"69,11,99,000",0.4634,"7,40,97,09,835",23025
61,LTIMindtree,"16,69,39,85,905",56.37,"75,61,61,000",1.2783,"4,28,25,85,441",82738
62,SBI Life Insurance,"16,64,57,74,539",16.62,"23,39,39,000",0.1959,"15,90,67,44,779",20787
63,Bank of Baroda,"16,42,26,22,950",3.18,"3,11,04,30,000",2.0943,"8,66,63,75,638",78122
64,Bharat Petroleum,"16,33,80,04,005",7.53,"4,37,42,70,000",4.046,"54,03,10,49,263",8594
65,GAIL,"16,10,36,85,015",2.45,"1,40,08,20,000",2.7354,"16,07,25,28,970",4754
66,Indian Overseas Bank,"15,61,32,04,059",0.83,"40,36,35,000",0,"1,86,80,00,919",22052
67,Godrej,"15,57,68,05,908",15.23,"6,08,47,800",1.179,"1,68,50,11,292",13000
68,Eicher Motors,"15,54,89,71,473",56.75,"63,32,62,000",0.7822,"1,95,73,31,084",4739
69,Adani Energy Solutions,"15,17,05,54,208",13.46,"54,78,25,000",0,"2,00,15,50,981",0
70,Britannia Industries,"14,95,71,18,115",62.1,"37,09,67,000",0,"1,99,50,62,256",4467
71,Union Bank of India,"14,66,55,07,078",1.92,"2,59,33,20,000",2.0078,"6,60,99,56,602",75594
72,Tech Mahindra,"14,39,29,59,344",14.73,"43,63,57,000",3.5536,"6,27,02,29,082",116331
73,Havells India,"14,32,92,28,011",22.87,"21,12,58,000",0.1609,"2,24,16,66,846",6533
74,HDFC Life,"14,18,13,36,559",6.59,"18,25,92,000",0.346,"12,00,13,72,707",32448
75,Cipla,"14,00,87,01,467",17.35,"69,83,97,000",0.5861,"3,06,84,88,131",25927
76,Adani Total Gas,"13,71,36,75,943",12.46,"10,80,45,000",0.0256,"53,94,72,130",550
77,Divis Laboratories,"13,70,77,03,340",51.64,"23,19,85,000",0.6863,"89,45,96,403",16543
78,IndusInd Bank,"13,64,32,14,628",17.53,"1,44,42,30,000",0,"3,61,81,75,740",33582
79,JSW Energy,"12,92,01,42,353",7.35,"45,60,76,000",0,"1,35,13,76,957",2310
80,NHPC Limited,"12,91,52,57,106",1.29,"53,13,40,000",1.8083,"1,16,73,11,182",5092
81,Canara Bank,"12,83,14,66,250",1.41,"2,41,16,10,000",10.4351,"8,08,31,05,977",84978
82,Cholamandalam Investment and Finance,"12,49,70,27,989",14.88,"55,60,41,000",0.163,"1,22,57,85,526",9125
83,TVS Motor,"12,41,18,36,297",26.13,"30,70,96,000",0.3643,"3,93,96,69,437",5459
84,Vodafone Idea,"12,40,96,77,297",0.18,"-56,05,40,000",0,"5,13,36,86,176",9370
85,Jindal Steel &amp; Power,"12,35,56,72,460",12.33,"83,00,54,000",0.1936,"8,77,08,64,051",6200
86,Samvardhana Motherson,"12,28,71,60,373",1.81,"59,00,40,000",0.4269,"11,28,82,15,178",47456
87,Hero MotoCorp,"12,27,07,76,177",61.38,"61,33,36,000",1.1711,"4,55,57,85,937",9173
88,Polycab India,"12,14,32,93,868",80.82,"28,43,66,000",0.3007,"2,16,91,47,828",4485
89,Tata Consumer Products,"12,11,10,51,083",12.71,"20,46,37,000",0.7329,"1,83,34,80,436",3040
90,Zydus Lifesciences,"12,06,47,48,091",11.99,"58,97,72,000",0.5926,"2,29,39,97,854",23000
91,Cummins India,"11,80,14,79,026",42.57,"23,86,28,000",0.8831,"1,02,68,27,873",3161
92,CG Power and Industrial Solutions,"11,78,18,88,543",7.71,"13,99,57,000",0.2012,"96,99,70,184",2771
93,Dabur,"11,58,16,83,785",6.53,"29,94,43,000",0.9921,"1,49,58,91,076",5319
94,Dr. Reddy's,"11,54,07,81,056",68.68,"85,39,57,000",1.3971,"3,28,32,13,219",25863
95,Indus Towers,"11,24,38,48,321",4.17,"97,89,12,000",0,"3,44,87,16,637",3163
96,IDBI Bank,"11,03,53,85,469",1.03,"1,00,86,70,000",1.1958,"2,18,84,23,363",16254
97,Torrent Pharmaceuticals,"10,93,88,55,102",32.32,"30,66,33,000",1.1221,"1,24,88,09,340",13247
98,Bajaj Holdings &amp; Investment,"10,88,29,47,391",95.35,"90,25,35,000",1.5481,"92,35,29,163",18
99,BOSCH India,"10,74,65,21,892",364.37,"37,45,91,000",1.5977,"1,96,54,45,461",38700
100,Shree Cement,"10,67,54,57,974",295.88,"38,78,70,000",0.1997,"2,47,42,95,645",6451
101,Shriram Transport Finance,"10,60,70,66,879",28.22,"1,20,06,70,000",2.1485,"2,46,45,16,498",64052
102,Mankind Pharma,"10,27,58,78,945",25.65,"29,34,31,000",0,"1,24,62,91,744",0
103,Solar Industries India,"10,16,52,87,542",112.34,"15,32,07,000",0.0865,"73,21,19,249",1781
104,Apollo Hospitals,"10,06,52,08,340",70,"20,16,17,000",0.2602,"2,20,82,40,954",71113
105,United Spirits,"9,86,14,10,749",13.9,"20,25,62,000",0.3416,"1,32,88,40,826",0
106,Indian Railway Catering & Tourism,"9,78,57,69,564",12.23,"18,21,89,000",0.4498,"49,37,11,661",1363
107,Linde India,"9,66,62,58,583",104.41,"6,97,33,700",0.0855,"34,25,81,159",242
108,Indian Hotels Company,"9,51,17,17,288",6.68,"24,00,77,000",0.1819,"80,72,84,241",16387
109,ICICI Prulife,"9,42,90,95,496",6.54,"11,09,68,000",0.1092,"10,81,60,27,523",17822
110,ICICI Lombard,"9,34,28,26,661",18.95,"29,39,76,000",0.6628,"2,38,53,81,034",12865
111,Godrej Properties,"9,26,20,33,105",33.31,"13,87,18,000",0,"36,61,19,795",2391
112,Marico,"9,23,10,07,311",7.14,"21,34,90,000",1.5926,"1,12,60,82,085",1657
113,Indian Bank,"9,19,08,94,550",6.8,"1,33,10,80,000",1.5099,"3,84,48,49,430",41699
114,National Mineral Development Corporation,"9,14,34,70,418",3.12,"1,08,46,40,000",3.4273,"2,50,32,47,343",5539
115,Hindustan Petroleum,"9,13,81,38,130",6.44,"2,78,78,50,000",2.7958,"52,09,90,98,157",9065
116,Info Edge,"8,81,91,50,698",68.3,"10,59,12,000",0.3355,"30,58,28,870",4785
117,Max Healthcare Institute,"8,75,96,16,371",9.01,"16,45,83,000",0.1326,"65,17,72,465",15000
118,Bharat Forge,"8,67,68,73,588",18.64,"23,27,00,000",0.5147,"1,89,08,91,513",4079
119,Colgate-Palmolive India,"8,66,46,52,615",31.86,"20,58,08,000",1.2127,"67,01,62,345",2318
120,Torrent Power,"8,65,30,07,532",18,"42,58,80,000",1.0741,"3,19,57,59,020",7603
121,Lupin Limited,"8,64,88,07,383",18.97,"32,96,31,000",0.2522,"2,37,00,12,172",20933
122,Yes Bank,"8,63,93,03,229",0.28,"18,51,10,000",0,"1,61,32,48,542",27517
